SID,ISO_TIME,LAT,LON,WMO_WIND,wind_was_missing,wind_imputation,WMO_PRES,pres_was_missing,pres_imputation,Status Wind,Status Pres
1980002S15081,1980-01-01 12:00:00,-15.2,80.5,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980002S15081,1980-01-01 15:00:00,-15.0,80.3,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980002S15081,1980-01-01 18:00:00,-14.8,80.2,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980002S15081,1980-01-01 21:00:00,-14.4,80.1,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980002S15081,1980-01-02 00:00:00,-14.0,80.0,29.0,0,Original,1000.0,0,Original,Asli,Asli
1980002S15081,1980-01-02 03:00:00,-13.9,79.7,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980002S15081,1980-01-02 06:00:00,-13.9,79.3,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980002S15081,1980-01-02 09:00:00,-13.9,78.9,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980002S15081,1980-01-02 12:00:00,-14.0,78.4,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980002S15081,1980-01-02 15:00:00,-14.3,78.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980002S15081,1980-01-02 18:00:00,-14.6,77.6,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980002S15081,1980-01-02 21:00:00,-14.8,77.3,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980002S15081,1980-01-03 00:00:00,-15.0,77.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-10 06:00:00,-20.3,42.7,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-10 09:00:00,-20.3,43.4,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-10 12:00:00,-20.3,44.1,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-10 15:00:00,-20.3,44.9,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-10 18:00:00,-20.3,45.7,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-10 21:00:00,-20.3,46.4,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-11 00:00:00,-20.3,47.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-11 03:00:00,-20.3,47.6,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-11 06:00:00,-20.3,48.2,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-11 09:00:00,-20.3,48.6,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-11 12:00:00,-20.3,49.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-11 15:00:00,-20.3,49.4,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-11 18:00:00,-20.3,49.7,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-11 21:00:00,-20.3,50.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-12 00:00:00,-20.3,50.3,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-12 03:00:00,-20.3,50.6,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-12 06:00:00,-20.3,51.0,29.0,0,Original,1000.0,0,Original,Asli,Asli
1980010S20043,1980-01-12 09:00:00,-20.2,51.5,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-12 12:00:00,-19.9,52.0,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
1980010S20043,1980-01-12 15:00:00,-19.5,52.5,29.0,1,Forward/Backward,1000.0,1,Forward/Backward,Perbaikan,Perbaikan
