Scenario,Window,Samples,R² Latitude,R² Longitude,R² Mean,Kategori
GAB,8,11564,0.999933,0.999975,0.999954,Sangat Baik
GAB,16,10049,0.999917,0.999955,0.999936,Sangat Baik
GAB,24,8637,0.999907,0.999974,0.99994,Sangat Baik
GAB,32,7326,0.999742,0.999794,0.999768,Sangat Baik
NI,8,2079,0.99869,0.999885,0.999287,Sangat Baik
NI,16,1644,0.999119,0.999905,0.999512,Sangat Baik
NI,24,1268,0.998282,0.999784,0.999033,Sangat Baik
NI,32,951,0.998978,0.999896,0.999437,Sangat Baik
SI,8,9485,0.999688,0.999978,0.999833,Sangat Baik
SI,16,8405,0.999668,0.999976,0.999822,Sangat Baik
SI,24,7369,0.999477,0.999973,0.999725,Sangat Baik
SI,32,6375,0.996848,0.999852,0.99835,Sangat Baik
