Rank,Scenario,Window,Samples,MAE LAT,MAE LON,RMSE LAT,RMSE LON,MAE,RMSE,Mean Haversine (km),Min Haversine (km),Max Haversine (km)
1,SI,16,8405,0.076555,0.088009,0.103732,0.122059,0.082282,0.112896,14.031,0.227,176.048
2,SI,8,9485,0.07903,0.089788,0.104722,0.129216,0.084409,0.116969,14.399,0.249,213.822
3,GAB,8,11564,0.081473,0.093954,0.114584,0.134913,0.087713,0.124748,14.923,0.1,280.349
4,GAB,24,8637,0.083908,0.096814,0.125891,0.149886,0.090361,0.137889,15.319,0.104,421.554
5,GAB,16,10049,0.085884,0.097071,0.12059,0.144751,0.091477,0.13267,15.52,0.164,363.322
6,SI,24,7369,0.102848,0.120955,0.148547,0.20894,0.111901,0.178744,18.858,0.189,572.497
7,NI,8,2079,0.101895,0.121383,0.145056,0.175312,0.111639,0.160184,19.07,0.558,189.606
8,NI,24,1268,0.122384,0.178956,0.18141,0.245163,0.15067,0.213287,25.863,0.394,226.506
9,NI,16,1644,0.147382,0.164648,0.202428,0.225928,0.156015,0.214178,26.634,0.841,196.358
10,NI,32,951,0.142445,0.187867,0.191756,0.257858,0.165156,0.224807,28.111,0.611,180.842
11,SI,32,6375,0.178784,0.153001,0.225905,0.234598,0.165892,0.230252,28.189,0.233,498.552
12,GAB,32,7326,0.235702,0.232662,0.421878,0.438497,0.234182,0.430188,39.953,0.376,1086.986
