Scenario,Window,Best Epoch,Train Loss,Validation Loss,Gap,Status
NI,8,100,0.0278696771711111,0.0335555560886859,0.005685878917574799,Sangat Baik
NI,16,48,0.0626183450222015,0.0644350498914718,0.001816704869270297,Sangat Baik
NI,24,100,0.0323830731213092,0.0415025651454925,0.009119492024183301,Sangat Baik
NI,32,87,0.0324118323624134,0.0348650962114334,0.0024532638490199973,Sangat Baik
SI,8,40,0.0203294288367033,0.0185322426259517,-0.0017971862107515994,Sangat Baik
SI,16,18,0.1182144284248352,0.0458481945097446,-0.0723662339150906,Sangat Baik
SI,24,34,0.0353155918419361,0.0251959674060344,-0.010119624435901697,Sangat Baik
SI,32,45,0.0328521467745304,0.0310267824679613,-0.001825364306569096,Sangat Baik
GAB,8,100,0.0155012998729944,0.0191306509077548,0.0036293510347604006,Sangat Baik
GAB,16,100,0.0148564046248793,0.0188989862799644,0.004042581655085099,Sangat Baik
GAB,24,100,0.016473326832056,0.0217213090509176,0.005247982218861601,Sangat Baik
GAB,32,56,0.0166255068033933,0.0221461076289415,0.0055206008255482,Sangat Baik
