Scenario,Window,Samples,R² Latitude,R² Longitude,R² Mean,Kategori
GAB,8,11564,0.999929,0.999974,0.999952,Sangat Baik
GAB,16,10049,0.999919,0.999971,0.999945,Sangat Baik
GAB,24,8637,0.999908,0.999969,0.999938,Sangat Baik
GAB,32,7326,0.998907,0.999732,0.99932,Sangat Baik
NI,8,2079,0.999225,0.999911,0.999568,Sangat Baik
NI,16,1644,0.998421,0.999849,0.999135,Sangat Baik
NI,24,1268,0.998691,0.999817,0.999254,Sangat Baik
NI,32,951,0.998481,0.999792,0.999136,Sangat Baik
SI,8,9485,0.999677,0.999979,0.999828,Sangat Baik
SI,16,8405,0.999684,0.999981,0.999833,Sangat Baik
SI,24,7369,0.999358,0.999944,0.999651,Sangat Baik
SI,32,6375,0.99853,0.999929,0.999229,Sangat Baik
