Rank,Scenario,Window,Samples,MAE LAT,MAE LON,RMSE LAT,RMSE LON,MAE,RMSE,Mean Haversine (km),Min Haversine (km),Max Haversine (km)
1,SI,8,9485,0.07721,0.089737,0.102988,0.131429,0.083474,0.117209,14.235,0.133,265.431
2,SI,16,8405,0.077613,0.091025,0.106318,0.137494,0.084319,0.121906,14.364,0.094,311.847
3,GAB,16,10049,0.08495,0.094648,0.122012,0.141861,0.089799,0.131936,15.255,0.061,381.953
4,GAB,8,11564,0.082099,0.103717,0.11072,0.144091,0.092908,0.127405,15.885,0.085,163.556
5,GAB,32,7326,0.089925,0.107259,0.141714,0.184674,0.098592,0.163194,16.704,0.182,563.068
6,SI,24,7369,0.100437,0.097856,0.134079,0.143238,0.099146,0.138659,16.796,0.151,280.127
7,NI,16,1644,0.108964,0.12873,0.151187,0.178852,0.118847,0.16502,20.399,0.3,193.992
8,NI,32,951,0.119177,0.129077,0.15732,0.182383,0.124127,0.169852,21.012,0.907,157.461
9,NI,8,2079,0.123753,0.137177,0.188574,0.199689,0.130465,0.194131,22.45,0.064,239.15
10,GAB,24,8637,0.186403,0.155292,0.249917,0.224556,0.170847,0.237237,28.885,0.179,515.792
11,NI,24,1268,0.151913,0.196916,0.207837,0.265791,0.174415,0.236814,29.732,1.056,210.628
12,SI,32,6375,0.262773,0.237067,0.330792,0.337714,0.24992,0.334253,42.91,0.282,543.35
