Scenario,Window,Epoch Total,Best Epoch,Train Loss,Validation Loss,Gap,Gap (%),Status
GAB,8,62,52,0.017263,0.018576,0.001313,7.07,Sangat Baik
GAB,16,100,100,0.016862,0.020638,0.003777,18.3,Sangat Baik
GAB,24,100,100,0.015142,0.020466,0.005324,26.01,Sangat Baik
GAB,32,33,23,0.284362,0.132202,-0.15216,-115.1,Sangat Baik
NI,8,37,27,0.040035,0.043733,0.003697,8.45,Sangat Baik
NI,16,67,57,0.027656,0.044441,0.016786,37.77,Baik
NI,24,63,53,0.048295,0.033341,-0.014954,-44.85,Sangat Baik
NI,32,53,43,0.045279,0.129515,0.084236,65.04,Overfitting
SI,8,76,66,0.01407,0.01671,0.002639,15.8,Sangat Baik
SI,16,97,87,0.014081,0.017035,0.002953,17.34,Sangat Baik
SI,24,35,25,0.019941,0.020361,0.00042,2.06,Sangat Baik
SI,32,21,11,0.164036,0.061291,-0.102745,-167.64,Sangat Baik
