Scenario,Window,Train Samples,Validation Samples,Epoch,Best Train Loss,Best Validation Loss,Best Train MAE,Best Validation MAE,Training Time (Second),History,Model
NI,8,7825,1521,100,0.027869677171111107,0.03355555608868599,0.12033682316541672,0.12647241353988647,128.13,/content/drive/MyDrive/Skripsi/hasil_analisis/history/ni_window8_history.csv,/content/drive/MyDrive/Skripsi/models/ni_window8.keras
NI,16,6152,1158,58,0.05485464259982109,0.06443504989147186,0.17010048031806946,0.1690320521593094,98.18,/content/drive/MyDrive/Skripsi/hasil_analisis/history/ni_window16_history.csv,/content/drive/MyDrive/Skripsi/models/ni_window16.keras
NI,24,4755,871,100,0.03238307312130928,0.041502565145492554,0.13028362393379211,0.14179719984531403,186.27,/content/drive/MyDrive/Skripsi/hasil_analisis/history/ni_window24_history.csv,/content/drive/MyDrive/Skripsi/models/ni_window24.keras
NI,32,3609,650,97,0.029633253812789917,0.03486509621143341,0.1273014396429062,0.1377912014722824,171.93,/content/drive/MyDrive/Skripsi/hasil_analisis/history/ni_window32_history.csv,/content/drive/MyDrive/Skripsi/models/ni_window32.keras
SI,8,38462,7990,50,0.017068924382328987,0.018532242625951767,0.09597592800855637,0.09645490348339081,377.72,/content/drive/MyDrive/Skripsi/hasil_analisis/history/si_window8_history.csv,/content/drive/MyDrive/Skripsi/models/si_window8.keras
SI,16,34159,7104,28,0.03871612623333931,0.045848194509744644,0.1411384642124176,0.15536348521709442,264.49,/content/drive/MyDrive/Skripsi/hasil_analisis/history/si_window16_history.csv,/content/drive/MyDrive/Skripsi/models/si_window16.keras
SI,24,29926,6224,44,0.02177051454782486,0.02519596740603447,0.10811737924814224,0.11365335434675217,585.45,/content/drive/MyDrive/Skripsi/hasil_analisis/history/si_window24_history.csv,/content/drive/MyDrive/Skripsi/models/si_window24.keras
SI,32,25794,5355,55,0.021190989762544632,0.03102678246796131,0.10689834505319595,0.12366985529661179,789.51,/content/drive/MyDrive/Skripsi/hasil_analisis/history/si_window32_history.csv,/content/drive/MyDrive/Skripsi/models/si_window32.keras
GAB,8,46287,9511,100,0.015501299872994423,0.019130650907754898,0.08904246240854263,0.09390297532081604,929.08,/content/drive/MyDrive/Skripsi/hasil_analisis/history/gab_window8_history.csv,/content/drive/MyDrive/Skripsi/models/gab_window8.keras
GAB,16,40311,8262,100,0.01485640462487936,0.018898986279964447,0.08794917911291122,0.0916973426938057,1431.2,/content/drive/MyDrive/Skripsi/hasil_analisis/history/gab_window16_history.csv,/content/drive/MyDrive/Skripsi/models/gab_window16.keras
GAB,24,34681,7095,100,0.016473326832056046,0.021721309050917625,0.09410914033651352,0.10058999061584473,1651.67,/content/drive/MyDrive/Skripsi/hasil_analisis/history/gab_window24_history.csv,/content/drive/MyDrive/Skripsi/models/gab_window24.keras
GAB,32,29403,6005,66,0.015893490985035896,0.022146107628941536,0.09185237437486649,0.09722775220870972,1062.46,/content/drive/MyDrive/Skripsi/hasil_analisis/history/gab_window32_history.csv,/content/drive/MyDrive/Skripsi/models/gab_window32.keras
